game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808361934,11.44,1,5,Kh 3h,7.370000000000001,2,3.5,0.8393939393939394,0,0,-1,-1,Kd Js 3c,Jc,7h,3.5,bets
808361874,13.35,1,6,4s Ks,3.3,2,0.0,0.4595959595959596,0,0,-1,-1,9c Jh Qd,7s,4c,0.0,checks
808361371,4.13,1,5,Js Jd,7.09,2,0.0,0.8686868686868687,0,0,0,-1,5s 3s 9c,8s,2s,0.0,checks
808361371,4.13,1,5,Js Jd,12.08,2,4.99,0.8686868686868687,0,0,0,0,5s 3s 9c,8s,2s,0.0,calls
808361262,7.25,2,5,As 2h,0.5,3,0.0,0.7808080808080808,0,0,-1,-1,5d Ad 9c,5c,8d,0.0,checks
808361197,0.0,1,6,8h Qh,31.0,2,0.0,0.7212121212121212,0,0,-1,-1,Qc 7d Ac,Ts,2c,0.0,checks
808360765,14.0,1,6,Jd Ah,2.75,2,0.0,0.3398989898989899,0,0,-1,-1,Qd 3c Tc,7s,9h,0.0,checks
808360247,4.12,1,6,Qh Qd,7.109999999999999,2,3.0,0.7803030303030303,0,0,1,-1,6c 3d 8h,2c,Kd,3.0,bets
808358981,3.14,0,6,As Qc,25.589999999999996,2,14.87,0.7444444444444445,0,0,-1,1,4d 3c 2c,5h,7c,11.63,raises
808358708,7.5,0,6,As Qc,22.5,2,7.0,0.8343434343434344,0,0,1,1,Ah 4h 3h,Ks,Ts,0.0,calls
808358448,11.96,0,6,Td As,10.34,2,4.01,0.46111111111111114,0,0,-1,1,6c 9s 2s,6d,4h,14.0,raises
808358301,13.14,1,6,Ac 3d,3.9699999999999998,2,0.0,0.3383838383838384,0,0,-1,-1,Qs 9s 3s,8h,2s,0.0,checks
808358301,13.14,1,6,Ac 3d,6.619999999999999,2,2.65,0.3383838383838384,0,0,-1,0,Qs 9s 3s,8h,2s,0.0,folds
808358146,7.49,1,6,Td Th,15.52,2,0.0,0.8388888888888889,0,0,-1,-1,Kd 6s Ks,2d,8s,0.0,checks
