game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808911962,6.75,1,6,Jc 9c,1.85,2,0.0,0.4592969472710453,0.09884927372193926,0.137125748502994,1,-1,Ad Ac 4d,0.0,checks
808911962,6.75,1,6,Jc 9c,2.1,2,0.25,0.4592969472710453,0.09884927372193926,0.137125748502994,1,0,Ad Ac 4d,0.0,calls
808911721,4.6,1,5,2c 7c,1.0,2,0.0,0.0818686401480111,0.08371782012704782,0.09462365591397849,1,-1,9h 6c Js,0.0,checks
808911721,4.6,1,5,2c 7c,1.63,2,0.63,0.0818686401480111,0.08371782012704782,0.09462365591397849,1,0,9h 6c Js,0.0,folds
808911317,5.1,1,4,4c 7h,1.1099999999999999,3,0.36,0.1595744680851064,0.09693318729463307,0.15819209039548024,-1,2,Qs Ac Qd,0.0,folds
808910053,26.08,0,5,As Ts,5.1,2,0.0,0.5851063829787234,0.15879323031640913,0.12218733647305076,0,-1,Jc Kd 3c,0.0,checks
808909092,26.5,1,5,3c 6d,2.5,2,0.0,0.967622571692877,0.05345345345345345,0.07540288379983036,-1,-1,3h 6s 7h,0.0,checks
808906776,21.5,2,6,Qc Kh,6.5,3,0.0,0.9555966697502313,0.06928104575163399,0.05045045045045045,1,-1,Qd 5c 9h,0.0,checks
808906776,21.5,2,6,Qc Kh,12.68,3,3.09,0.9555966697502313,0.06928104575163399,0.05045045045045045,1,1,Qd 5c 9h,0.0,calls
808906258,7.0,0,7,Td Jd,1.1,2,0.7,0.2631822386679001,0.277625190733805,0.1039600153787005,0,-1,4c 8h 9d,0.7,bets
808906236,5.84,0,6,Kh Ac,1.26,2,0.48,0.5962072155411656,0.11020408163265306,0.13805855161787364,0,-1,6h Jc 5d,0.48,bets
808905406,28.0,2,6,8d 9d,8.5,4,4.04,0.9037927844588344,0.0778816199376947,0.10129251700680272,2,-1,8h 7c 2h,4.04,bets
808905406,23.96,2,6,8d 9d,85.94999999999999,4,65.33,0.9037927844588344,0.0778816199376947,0.10129251700680272,2,3,8h 7c 2h,0.0,folds
808904819,4.9,0,6,Jd Jh,1.6,2,1.01,0.9495837187789085,0.07636363636363637,0.07218435572865953,0,-1,Ts 8d 3c,1.01,bets
808902526,28.0,3,6,3s 3d,9.0,4,0.0,0.5906567992599445,0.040481565086531224,0.1703355938097722,2,-1,9h Qc 8h,0.0,checks
808902232,7.25,1,6,8h Ah,0.75,3,0.25,0.562904717853839,0.07589098532494759,0.13681348558999457,-1,-1,Ts 4h Jc,0.25,bets
808901074,5.9399999999999995,0,6,Js As,3.11,3,1.0,0.5851063829787234,0.1742457689477557,0.1227106227106227,0,1,Qd Tc 5c,0.0,calls
808899779,18.0,0,4,9c Kc,4.0,2,0.0,0.44819611470860315,0.09539656128674431,0.13135650988411723,1,-1,7s 2d Jd,0.0,checks
808899654,27.5,1,6,8h 5h,5.5,2,0.0,0.1595744680851064,0.07744919070220276,0.13565599497802888,0,-1,9c Ac 4s,0.0,checks
808899654,27.5,1,6,8h 5h,8.11,2,2.61,0.1595744680851064,0.07744919070220276,0.13565599497802888,0,0,9c Ac 4s,0.0,folds
808899034,4.5,1,4,5s 2s,1.97,3,0.47,0.004162812210915819,0.2406824956316168,0.011111111111111112,0,2,4s 8h 3h,0.0,calls
808898567,5.52,2,4,Tc Ks,0.75,3,0.0,0.5851063829787234,0.07711552612214864,0.134589220303506,-1,-1,2h Qd 2s,0.0,checks
808898567,5.52,1,4,Tc Ks,1.23,2,0.48,0.5851063829787234,0.07711552612214864,0.134589220303506,-1,0,2h Qd 2s,1.25,raises
808898418,18.0,1,3,6h 7s,4.0,2,1.52,0.11517113783533765,0.24462943692912476,0.07958656330749354,1,-1,Tc 4s 8h,1.52,bets
